,Nombre
480,Rofan – Maurach
481,Passo dello Stelvio (Stelvio Pass)
482,Gaissau-Hintersee
483,Passo Maniva
484,Steibis – Imberg (Oberstaufen)
485,Nesfjellet – Nesbyen
486,Černá hora – Janské Lázně
487,Bjorli
488,Darlux – Bergün
489,Molines-en-Queyras/Saint-Véran
490,Ramundberget
491,Arolla
492,Gavarnie-Gèdre (Les Espécières)
493,Tornik – Zlatibor
494,Karkogel – Abtenau
495,Réallon
496,Glenshee
497,Roubion les Buisses
498,Ceillac en Queyras
499,Stöten
500,Mt. Cheget
501,Hochkar – Göstling
502,Bernex
503,Pelvoux/Vallouise
504,Cambre d'Aze – Eyne/Saint-Pierre-dels-Forcats
505,Baranci (Haunold) – San Candido (Innichen)
506,Hündle/Thalkirchdorf (Oberstaufen)
507,Vogel – Bohinj
508,Prati di Tivo
509,Gran Sasso – Campo Imperatore
510,Rauland Skisenter/Holtardalen
511,Campitello Matese
512,Wispile – Gstaad
513,Crissolo – Monviso
514,Steckenberg – Unterammergau
515,Schöneck (Skiwelt)
516,Hochstein – Lienz
517,Karwendel Bergbahn (Zwölferkopf) – Pertisau
518,Elsigen-Metsch – Frutigen
519,Alpe del Nevegal
520,Obertilliach – Golzentipp
521,Moléson
522,Mavrovo – Zare Lazareski
523,Marbach – Marbachegg
524,Crévacol
525,Kouty nad Desnou
526,LeMelette – Gallio
527,Fendels
528,Ravna Planina
529,Glencoe Mountain
530,Plešivec – Abertamy
531,Valgrande Pajares
532,Horní Domky – Lysá Hora
533,Stara Planina – Babin Zub
534,Argentera
535,Vrådal
536,San Isidro-Zona Cebolledo
537,Cmiljače – Bjelasica
538,Funäsdalsberget
539,Ancelle
540,Formiguères
541,Colere
542,Corno alle Scale – Lizzano in Belvedere
543,Vrátna
544,Monte Verena – Mezzaselva di Roana
545,Wiriehorn
546,Aillons-Margériaz
547,Kelchsau
548,Poiana Brașov
549,Auronzo di Cadore – Monte Agudo
550,Kolasportland
551,Saint-Léger-les-Mélèzes
552,Kampenwand – Aschau im Chiemgau
553,Zieleniec
554,Unterbäch – Brandalp/Ginals
555,Ruzomberok Skipark
556,L'Essert – Abondance
557,La Covatilla – Sierra de Béjar
558,Veľká Rača
559,Sarn (Heinzenberg)
560,Col de Rousset
561,Praděd/Myšák – Malá Morávka (Ski Karlov)
562,Kanin – Sella Nevea/Bovec
563,Predeal
564,La Bresse – Hohneck
565,Kranjska Gora
566,Alpe di Mera – Scopello
567,Panarotta 2002 – Valsugana
568,Le Semnoz
569,Sattel – Hochstuckli
570,Sampeyre
571,Bielmonte
572,Jöchelspitze – Bach
573,Cairngorm Mountain
574,La Fouly
575,Hochwang – Goldgruben
576,Hochwang – Goldgruben
577,Lizzola
