,Adults,Youth,Children
777,,,
778,,,
779," 31,- "," 26,-__",
780,,,
781,,,
782," 35,- "," 31,- "," 21,-__"
783," 28,- approx. "," 26,-__",
784,,,
785," 21,- "," 16,-__",
786,,,
787," 36,- "," 31,- "," 21,-__"
788," 20,- "," 17,-__",
789,,,
790,,,
791,,,
792,,,
793,,,
794," 27,- approx. "," 24,- approx. "," 19,-__"
795," 34,- "," 29,- "," 26,-__"
796,,,
797,,,
798,,,
799,,,
800,,,
801," 32,- approx. "," 23,-__",
802, 28.90 , 17.90__,
803," 32,- "," 26,- "," 22,-__"
804,,,
805," 26,- ", 19.50 ," 15,-__"
806,,,
807,,,
808,,,
809,,,
810,,,
811," 19,- "," 14,-__",
812,,,
813,,,
814,,,
815, 22.30 , 20.30 , 17.70__
816,,,
817,,,
818,,,
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,,,
826,,,
827,,,
828," 34,- approx. "," 22,-__",
829,,,
830,,,
831,,,
832,,,
833," 25,- approx. "," 23,-__",
834,,,
835,,,
836," 33,- "," 25,- "," 18,-__"
837," 36,- "," 29,- "," 23,-__"
838," 32,- approx. "," 27,- approx. "," 23,-__"
839,,,
840,,,
841,,,
842,,,
843,,,
844," 30,- approx. "," 28,- approx. "," 21,-__"
845, 28.20 , 20.90 , 16.90__
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,,,
853," 30,- "," 26,- "," 18,-__"
854,,,
855,,,
856," 27,- approx. "," 23,- approx. "," 19,-__"
857," 39,- "," 32,- "," 19,-__"
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,,
865, 34.50 ," 31,- "," 23,-__"
866,,,
867,,,
868,,,
869,,,
870,,,
871," 23,- "," 20,-__",
872,,,
873,,,
874, 19.50 ," 14,-__",
875,,,
876,,,
877," 21,- "," 16,-__",
878,,,
879," 31,- "," 27,- "," 18,-__"
880,,,
881,,,
882,,,
883," 27,- "," 20,- "," 16,-__"
884,,,
885," 21,- approx. "," 17,-__",
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
896,,,
897," 25,- ", 18.50__,
898," 38,- "," 32,- "," 23,-__"
899,,,
900," 38,- ", 22.50__,
901," 35,- "," 31,- "," 22,-__"
902,,,
903,,,
904,,,
905,,,
906,,,
907," 33,- "," 25,- "," 17,-__"
908,,,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918," 36,- ", 32.40 , 21.60__
919, 41.50 ," 37,- "," 26,-__"
920," 27,- "," 19,-__",
921,,,
922,,,
923,,,
924," 32,- approx. "," 27,- approx. "," 23,-__"
925,,,
926," 33,- "," 25,- ", 16.50__
927," 38,- ", 33.50 , 22.50__
928,,,
929, 19.80 , 15.50__,
930,,,
931,,,
932,,,
933,,,
934,,,
935,,,
936," 17,- "," 13,-__",
