,Minima Altura,Maxima Altura
831, 1446 m,1837 m
832,380 m,657 m
833,787 m,997 m
834,1062 m,1242 m
835,333 m,509 m
836,710 m,1342 m
837,1220 m,1460 m
838,848 m,1720 m
839,1050 m,1550 m
840,152 m,312 m
841,160 m,450 m
842,43 m,195 m
843,1294 m,1562 m
844,1150 m,1580 m
845,837 m,1330 m
846,1189 m,1445 m
847,1540 m,2400 m
848,1412 m,2236 m
849,357 m,822 m
850,600 m,791 m
851,522 m,759 m
852,855 m,1216 m
853,1438 m,1687 m
854,125 m,390 m
855,1290 m,1549 m
856,854 m,1202 m
857,1150 m,1450 m
858,162 m,410 m
859,213 m,348 m
860,1510 m,1780 m
861,562 m,889 m
862,920 m,1228 m
863,790 m,1620 m
864,1429 m,1800 m
865,1250 m,1600 m
866,862 m,1164 m
867,2022 m,2480 m
868,159 m,309 m
869,1664 m,2050 m
870,1350 m,1825 m
871,830 m,1110 m
872,638 m,1230 m
873,850 m,1024 m
874,761 m,891 m
875,700 m,1060 m
876,918 m,1004 m
877,800 m,1000 m
878, 1120 m,1950 m
879, 1150 m,1570 m
880,1513 m,1800 m
881,950 m,1240 m
882,1250 m,1700 m
883,715 m,1078 m
884,200 m,515 m
885,456 m,720 m
886,288 m,503 m
887,1618 m,2040 m
888,620 m,1098 m
889,1950 m,2333 m
890,1751 m,1936 m
891,140 m,190 m
892,856 m,1708 m
893, 1700 m,2208 m
894,1426 m,1643 m
895,560 m,1522 m
896, 950 m,1200 m
897,657 m,1050 m
898, 1300 m,1750 m
899,944 m,1109 m
900,791 m,1723 m
901,860 m,1230 m
902,1400 m,1800 m
903,1110 m,1780 m
904,171 m,340 m
905,1065 m,1593 m
906,1300 m,1650 m
907,981 m,2080 m
908, 1526 m,2221 m
909,1300 m,1850 m
910,257 m,437 m
911,380 m,700 m
912,1527 m,2013 m
913,1310 m,1520 m
914,1200 m,1630 m
915,325 m,875 m
916,230 m,425 m
917,1851 m,1997 m
918,1320 m,1710 m
919,1450 m,1980 m
920,850 m,1200 m
921, 1516 m,1756 m
922,720 m,1200 m
923,1290 m,1757 m
924,830 m,1200 m
925,325 m,1000 m
926,710 m,1300 m
927,1230 m,1700 m
928,1730 m,2200 m
929,1050 m,1600 m
930,500 m,950 m
931,860 m,1400 m
932,440 m,780 m
933,457 m,918 m
934,1100 m,1311 m
935,1075 m,1429 m
936,610 m,928 m
